,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,ID,Title,Type,Number of Scanlation group,Awarded,Japanese publihsers,Oneshot,Scan start day,Scan latest day,Digitally published first by publisher,Simulus translate,Publish status,Completely scanlated,Artist,Publish year,Licensed,name of English publisher,English publishing status,Anime,Rating,Vote number,Action,Adult,Adventure,Comedy,Doujinshi,Drama,Ecchi,Fantasy,Gender Bender,Harem,Hentai,Historical,Horror,Josei,Lolicon,Martial Arts,Mature,Mecha,Mystery,Psychological,Romance,School Life,Sci-fi,Seinen,Shotacon,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Smut,Sports,Supernatural,Tragedy,Yaoi,Yuri,Year published in English
0,17,17,17,0.0,1702,07-Ghost,Manga,11,True,Ichijinsha,False,05/25/08,05/07/16,False,False,Complete,Yes,ICHIHARA Yukino,2005.0,Yes,"Go! Comi, Viz","Defunct / 3 Vols, 17 Vols - Complete",True,8.3,932,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012
1,49,0,0,,66093,14-sai no Koi,Manga,3,False,Hakusensha,False,05/21/13,09/25/18,False,False,Ongoing,No,MIZUTANI Fuka,2010.0,Yes,Yen Press,9 Vols - Ongoing,False,8.5,521,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014
2,475,2,0,,123796,Akazukin-chan wa Ookami-san o Nakasetai!,Manga,0,False,Ichijinsha,False,Pass,Pass,False,False,Complete,No,HACHIJOU Shin,2015,Yes,Seven Seas,2 Volumes - Complete,False,8.7,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
3,745,22,0,,43245,Are You Alice?,Manga,7,False,Ichijinsha,False,12/02/12,07/14/20,False,False,Complete,No,KATAGIRI Ikumi,2009,Yes,Yen Press,12 Vols - Complete,False,7.9,229,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
4,814,16,0,,139565,Atashi no Pink ga Afurechau,Manga,0,False,Kodansha,False,Pass,Pass,False,False,Ongoing,No,MONOU Yuki,2017,Yes,Kodansha USA,4 Vols - Ongoing; digital,False,8.9,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
5,877,9,0,,117029,Bad End Night - Insane Party,Manga,0,False,Ichijinsha,False,Pass,Pass,False,False,Complete,No,NOZAKI Tsubata,2014,Yes,Seven Seas,3 Vols - Complete,False,8.2,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017
6,891,23,0,,141298,Bakemono no Yawazukushi,Manga,0,False,Media Factory,False,Pass,Pass,False,False,Ongoing,No,Matsuri,2016,Yes,Yen Press,4 Vols - Ongoing,False,8,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019
7,956,13,0,,113377,Bato Rabbits,Manga,1,False,Ichijinsha,False,12/28/14,10/31/16,False,False,Complete,No,ICHIHARA Yukino,2014,Yes,Seven Seas,4 Vols - Complete; digital & print,False,7.5,25,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
8,1289,21,0,,140595,Buchou no Nyanko,Manga,0,False,Kodansha,False,Pass,Pass,False,False,Complete,No,HISAWA Yumi,2017.0,Yes,Kodansha USA,5 Vols - Ongoing; digital,False,7.4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019
9,1439,21,0,,28805,Chihayafuru,Manga,11,True,Kodansha,False,12/24/11,08/06/20,False,False,Ongoing,No,SUETSUGU Yuki,2007,Yes,Kodansha USA,20 Vols - Ongoing; digital,True,8.7,563,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2017
10,1490,22,0,,6100,Chou yo Hana yo,Manga,5,False,Shogakukan,False,02/01/07,02/16/19,False,False,Complete,Yes,YOSHIHARA Yuki,2006.0,Yes,Viz,8 Vols - Complete,False,7.8,506,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2009
11,1556,13,0,,95787,Clay Lord,Manga,1,False,Ichijinsha,False,04/27/13,03/16/14,False,False,Complete,No,SUZUMOTO Jun,2013,Yes,Seven Seas,3 Vols - Complete,False,8.3,35,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
