,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,ID,Title,Type,Number of Scanlation group,Awarded,Japanese publihsers,Oneshot,Scan start day,Scan latest day,Digitally published first by publisher,Simulus translate,Publish status,Completely scanlated,Artist,Publish year,Licensed,name of English publisher,English publishing status,Anime,Rating,Vote number,Action,Adult,Adventure,Comedy,Doujinshi,Drama,Ecchi,Fantasy,Gender Bender,Harem,Hentai,Historical,Horror,Josei,Lolicon,Martial Arts,Mature,Mecha,Mystery,Psychological,Romance,School Life,Sci-fi,Seinen,Shotacon,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Smut,Sports,Supernatural,Tragedy,Yaoi,Yuri
17,17,17,0.0,1702,07-Ghost,Manga,11,True,Ichijinsha,False,05/25/08,05/07/16,False,False,Complete,Yes,ICHIHARA Yukino,2005.0,Yes,"Go! Comi, Viz","Defunct / 3 Vols, 17 Vols - Complete",True,8.3,932,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,20,20,0.0,45568,1 or W,Manga,0,False,Shogakukan,False,Pass,Pass,False,False,Complete,No,TAKAHASHI Rumiko,1995.0,Yes,Viz,1 Vol - Complete,False,6.8,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,22,0.0,1231,1 Pound no Fukuin,Manga,3,False,Shogakukan,False,01/17/07,06/14/09,False,False,Complete,Yes,TAKAHASHI Rumiko,1989.0,Yes,Viz,4 Vols - Complete,False,7.2,94,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
27,2,0,,72678,10 Dance,Manga,2,False,"Kodansha, Takeshobo",False,05/20/12,07/10/18,False,False,Ongoing,No,INOUE Satou,2012.0,Yes,Kodansha USA,5 Vols - Ongoing,False,8.9,258,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0
34,9,0,,135499,100-man no Inochi no Ue ni Ore wa Tatte Iru,Manga,3,False,Kodansha,False,09/07/16,11/15/18,False,False,Ongoing,No,NAO Akinari,2016.0,Yes,Kodansha USA,9 Vols - Ongoing; digital; 6 Vols; print,False,7.4,53,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,17,0,,12380,11-nin Iru!,Manga,1,True,Shogakukan,False,11/18/18,03/20/19,False,False,Complete,Yes,HAGIO Moto,1975.0,Yes,Viz,published w/Four Shojo Stories,False,8.3,68,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
43,18,0,,145740,1122,Manga,0,False,Kodansha,False,Pass,Pass,False,False,Complete,No,WATANABE Peko,2016.0,Yes,Kodansha USA,6 Vols - Ongoing; digital,False,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
45,20,0,,93892,12 Beast,Manga,4,False,Fujimi Shobou,False,11/11/13,05/29/17,False,False,Ongoing,No,Okayado,2013.0,Yes,Seven Seas,7 Vols - Ongoing,False,7.4,202,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,0,0,,66093,14-sai no Koi,Manga,3,False,Hakusensha,False,05/21/13,09/25/18,False,False,Ongoing,No,MIZUTANI Fuka,2010.0,Yes,Yen Press,9 Vols - Ongoing,False,8.5,521,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,20,0,,3328,20 Mensou ni Onegai!!,Manga,2,False,Kadokawa,False,08/27/06,06/09/09,False,False,Complete,Yes,"APAPA Mokona, CLAMP",1989.0,Yes,"TokyoPop, Viz","Expired / 2 Vols - Complete, 2 Vols - Complete; digital",False,6.7,106,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
70,21,0,,319,20 Seiki Shounen,Manga,2,True,Shogakukan,False,03/22/05,08/14/07,False,False,Complete,Yes,URASAWA Naoki,1999.0,Yes,Viz,22 Vols - Complete / 8 Perfect Eds - Ongoing,False,8.8,1548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
73,24,0,,5809,2001 Ya Monogatari,Manga,0,False,"Chuuoukouronsha, Futabasha, Kobunsha, Shimanaka Shoten",False,Pass,Pass,False,False,Complete,Yes,HOSHINO Yukinobu,1984.0,Yes,Viz,3 Vols - Complete,False,8.1,85,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
77,3,0,,5673,21 Seiki Shounen,Manga,3,True,Shogakukan,False,06/11/07,02/14/08,False,False,Complete,Yes,URASAWA Naoki,2006.0,Yes,Viz,2 Vols - Complete,False,8.5,948,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
96,22,0,,94168,31 Ai Dream,Manga,4,False,Hakusensha,False,04/10/14,07/09/18,False,False,Ongoing,No,TANEMURA Arina,2013.0,Yes,Viz,6 Vols - Ongoing,False,7.5,45,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
104,5,0,,67901,3D Kanojo,Manga,5,False,Kodansha,False,05/09/16,07/11/18,False,False,Complete,Yes,NANAMI Mao,2011.0,Yes,Kodansha Comics,12 Volume - Complete; Digital,True,7.8,261,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
118,19,0,,135,666 Satan,Manga,22,False,Square Enix,False,07/23/05,11/28/08,False,False,Complete,Yes,KISHIMOTO Seishi,2001.0,Yes,Viz,19 Vols - Complete,False,7.7,1025,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
121,22,0,,50252,7-nin no Shakespeare,Manga,1,False,Shogakukan,False,03/30/12,06/15/14,False,False,Complete,Yes,HAROLD Sakuishi,2010.0,Yes,Kodansha USA,3 Omnibus Vols  - Complete; digital,False,7.5,25,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
122,23,0,,140055,7-nin no Shakespeare: Non Sanz Droict,Manga,0,False,Kodansha,False,Pass,Pass,False,False,Ongoing,No,HAROLD Sakuishi,2017.0,Yes,Kodansha USA,6 Vols - Ongoing; digital,False,6.5,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
124,0,0,,112771,7th Garden,Manga,3,False,Shueisha,False,12/24/14,03/22/16,False,False,Unknown,No,IZUMI Mitsu,2014.0,Yes,Viz,8 Vols - Ongoing,False,8.3,91,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
125,1,0,,147235,86,Manga,4,False,Square Enix,False,02/03/18,04/14/20,False,False,Ongoing,No,YOSHIHARA Motoki,2018.0,Yes,Yen Press,December 2020,False,7.3,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
130,6,0,,34969,@Full Moon,Manga,0,False,Kodansha,False,Pass,Pass,False,False,Complete,No,MATOH Sanami,2008.0,Yes,Kodansha Comics,2 Volumes - Complete,False,6.7,17,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
163,14,0,,145392,A Manga Of My Memories With Oda-San!,Manga,1,False,Shueisha,True,11/02/17,11/02/17,False,False,Complete,Yes,SHIMABUKURO Mitsutoshi,2017.0,Yes,Viz,SJ #07/17/2017; digital,False,6.6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
199,0,0,,7483,"A, A'",Manga,0,True,Akita Shoten,False,Pass,Pass,False,False,Complete,Yes,HAGIO Moto,1981,Yes,Viz,1 Vol - Complete,False,8.1,105,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
208,9,0,,2629,Abara,Manga,3,False,Shueisha,False,01/04/06,12/25/07,False,False,Complete,Yes,NIHEI Tsutomu,2006,Yes,Viz,1 Vol - Complete,False,6.9,435,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
209,10,0,,150963,Abe-kun ni Nerawaretemasu,Manga,0,False,Kodansha,False,Pass,Pass,False,False,Ongoing,No,IWAI Aki,2018,Yes,Kodansha Comics,2 Volumes - Ongoing; Digital,False,8.5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
210,11,0,,97149,Absolute Duo,Manga,2,False,Media Factory,False,05/05/13,08/19/15,False,False,Complete,No,NARIIE Shinichirou,2013,Yes,Seven Seas,4 Vols - Complete,True,7.6,162,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
215,16,0,,98665,ACCA - 13-ku Kansatsuka,Manga,2,False,Square Enix,False,11/15/16,12/14/17,False,False,Complete,Yes,ONO Natsume,2013,Yes,Yen Press,6 Vols - Complete,True,9,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
216,17,0,,140515,ACCA - 13-ku Kansatsuka P.S.,Manga,0,False,Square Enix,False,Pass,Pass,False,False,Complete,No,ONO Natsume,2016,Yes,Yen Press,,False,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
217,18,0,,59514,Accel World,Manga,3,False,ASCII Media Works,False,09/28/14,11/16/17,False,False,Complete,Yes,AIGAMO Hiroyuki,2010,Yes,Yen Press,8 Vols - Complete,True,7.8,310,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
222,23,0,,145870,ACT-AGE,Manga,3,True,Shueisha,False,07/10/18,Pass,True,True,Ongoing,No,USAZAKI Shiro,2018,Yes,Viz,1 Volume - Ongoing,False,8.2,137,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
226,2,0,,2249,AD. Police,Manga,0,False,"Byakuya Shobo, Kodansha",False,Pass,Pass,False,False,Complete,Yes,TONY Takezaki,1989,Yes,Viz,1 Vol - Complete,False,5.8,42,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
228,4,0,,154580,Adachi to Shimamura (YUZUHARA Moke),Manga,1,False,ASCII Media Works,False,05/27/19,07/28/20,False,False,Ongoing,No,YUZUHARA Moke,2019,Yes,Yen Press,January 2021,False,8.6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
247,23,0,,19785,Afro Samurai,Manga,0,False,Nononhow,False,Pass,Pass,False,False,Complete,Yes,OKAZAKI Takashi,2008,Yes,Seven Seas,OOP / 2 Vols - Complete,True,6.7,56,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
