,Unnamed: 0,Year,Number of scanlator group,Number of adult groups,adult/general
0,0,2001,11,7,63.64
1,1,2002,41,33,80.49
2,2,2003,139,100,71.94
3,3,2004,231,172,74.46
4,4,2005,390,262,67.18
5,5,2006,571,352,61.65
6,6,2007,822,476,57.91
7,7,2008,1062,588,55.37
8,8,2009,1235,707,57.25
9,9,2010,1212,749,61.8
10,10,2011,1184,792,66.89
11,11,2012,1255,848,67.57
12,12,2013,1347,888,65.92
13,13,2014,1451,965,66.51
14,14,2015,1802,1156,64.15
15,15,2016,1954,1274,65.2
16,16,2017,1848,1244,67.32
17,17,2018,1758,1249,71.05
18,18,2019,2016,1385,68.7
19,19,2020,2196,1384,63.02
