,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Name,Active or not,Release Frequency,Number of Release,Total Series,First Update,Lastest Update,Action,Adult,Adventure,Comedy,Doujinshi,Drama,Ecchi,Fantasy,Gender Bender,Harem,Hentai,Historical,Horror,Josei,Lolicon,Martial Arts,Mature,Mecha,Mystery,Psychological,Romance,School Life,Sci-fi,Seinen,Shotacon,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Smut,Sports,Supernatural,Tragedy,Yaoi,Yuri
0,0,0,0,#1onlii,No,Inactive Group,9,9,01/03/15,03/22/15,2,1,0,6,0,5,3,1,0,1,0,0,0,0,0,0,1,0,0,1,6,4,1,4,0,0,0,4,0,2,0,0,3,1,0,0
1,1,1,0,#dropout,Yes,Often. About every 3.2 day(s),1033,26,08/02/16,08/03/20,3,0,0,21,0,5,9,1,1,3,0,0,0,0,0,0,0,0,1,1,12,15,1,7,0,0,0,13,0,10,0,0,8,0,0,0
2,2,2,0,#EverydayHeroes Scans,Yes,Often. About every 5.2 day(s),392,12,08/29/15,08/01/20,3,0,4,7,0,3,0,6,0,0,0,3,0,0,0,0,1,0,1,0,2,1,0,9,0,1,0,0,0,2,0,1,3,0,0,0
3,3,3,0,#got-nyu?,No,Inactive Group,0,0,no date,no date,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,0,#Hassasin,No,Inactive Group,4,2,05/23/19,12/30/19,1,0,1,2,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
5,5,5,0,#JustAnotherGroup #BeastScans,Yes,Infrequently,1,1,04/24/20,04/24/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,6,0,>I Love Girls< Scanlations,No,Inactive Group,3,1,03/23/16,05/09/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,7,0,<<Infinity ∞ Guild>>,No,Inactive Group,1,1,10/20/18,10/20/18,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,8,8,0,*Compartilhando*,No,Inactive Group,2,1,09/13/09,09/14/09,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
9,9,9,0,*RedSky* Scanlations,No,Inactive Group,2,1,08/23/12,02/14/13,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
10,10,10,0,-F-,Yes,Often. About every 3.2 day(s),15,6,05/07/20,06/27/20,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11,11,11,0,-Manhwa Hentai-,No,Inactive Group,1,1,03/19/19,03/19/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,12,0,-menos-FreeTime ENG,No,Inactive Group,2,2,03/09/18,05/05/18,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
13,13,13,0,...,No,Inactive Group,10,5,01/04/06,06/22/07,3,0,2,2,0,3,1,1,0,0,0,0,2,0,0,0,2,1,1,3,1,0,4,3,0,0,0,2,0,1,0,0,1,0,0,0
14,14,14,0,...and other escapades,No,Inactive Group,2,2,01/28/08,01/28/08,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
15,15,15,0,/a/ Collective Scanlation,No,Inactive Group,16,1,05/31/11,06/13/11,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,16,16,0,/a/dolf hitler scanlations,Yes,Infrequently,25,17,10/22/19,07/28/20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,1,0,2,0,0,1,0,0,0,0,0,9
17,17,17,0,/A/nimango Scans,Yes,Occasionally. About every 21 day(s),113,7,05/08/14,08/05/20,2,2,0,6,0,2,3,2,0,2,0,0,0,0,0,0,0,0,0,0,4,3,2,5,0,0,0,2,0,3,0,0,2,0,0,0
18,18,18,0,/a/non,No,Inactive Group,76,9,06/07/09,12/08/13,4,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,5,0,1,0,0,0,0,0,0
19,19,19,0,/a/nonymous,Yes,Every day,3955,390,05/21/13,08/07/20,88,20,38,220,5,118,86,67,5,45,0,13,9,3,2,3,28,5,22,20,146,146,36,117,1,11,20,135,3,99,1,11,60,12,4,6
20,20,20,0,/a/nonymous scanlations,No,Inactive Group,501,30,04/01/10,06/30/13,12,0,4,11,0,5,3,3,0,1,0,2,2,0,0,0,2,1,5,2,4,4,5,8,0,1,0,9,0,1,0,1,8,0,0,0
21,21,21,0,/a/thena,No,Inactive Group,1,1,01/15/18,01/15/18,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
22,22,22,0,/a/TSUMARE!,Yes,Weekly,76,1,01/19/19,08/03/20,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,23,23,0,/ak/ Scans,Yes,Often. About every 8 to 9 day(s),901,63,07/23/12,08/06/20,33,1,13,38,0,17,5,19,3,5,0,2,0,0,0,0,5,0,2,1,8,17,4,28,0,1,2,16,0,9,0,1,7,1,0,0
24,24,24,0,/animu/ scans,Yes,Occasionally. About every 15 day(s),114,4,08/22/18,08/03/20,1,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,0,0,0,1,0,0,0,0,1,0,0,0
25,25,0,0,/azu/nites,No,Inactive Group,8,1,01/22/07,09/23/07,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
26,26,1,0,/c/ute scans,No,Inactive Group,7,1,12/24/18,07/24/19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
27,27,2,0,/L/azy Scans,No,Inactive Group,3,1,07/25/19,07/28/19,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,3,0,/m/ Scans,No,Inactive Group,2,2,11/23/15,01/24/16,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
29,29,4,0,/m/en of Destiny,No,Inactive Group,3,1,01/20/15,06/05/15,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,30,5,0,/m/onkey business,Yes,Occasionally. About every 18 day(s),17,3,11/14/19,06/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,6,0,/r/Bluelock,Yes,Infrequently,2,1,05/19/20,05/22/20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
32,32,7,0,/r/BraveFrontier,No,Inactive Group,25,1,11/08/14,05/03/15,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,8,0,/r/CharlotteAnime,No,Inactive Group,1,1,12/27/19,12/27/19,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0
34,34,9,0,/r/manga scans,No,Inactive Group,9,4,08/22/15,08/23/17,2,1,1,4,0,1,2,2,0,1,0,0,0,0,0,0,1,0,0,0,3,2,1,2,0,0,0,2,0,1,0,0,2,0,0,0
35,35,10,0,/r/OregairuSNAFU Scans,No,Inactive Group,2,1,12/12/16,07/19/17,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,36,11,0,/r/parasyte,Yes,Often. About every 5 to 6 day(s),6,1,07/10/20,07/30/20,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
37,37,12,0,/r/WanganMidnight,Yes,Weekly,44,1,06/08/19,08/03/20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
38,38,13,0,/tg/ Scanlations,No,Inactive Group,13,2,07/03/13,11/09/15,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,39,14,0,/u/ Scanlations,Yes,Every day,1449,358,11/15/08,08/03/20,8,30,0,62,101,30,20,9,0,4,13,0,3,1,7,0,3,0,2,4,44,53,3,17,1,3,80,7,1,28,2,3,19,3,0,111
40,40,15,0,/u/XXXXXXXXXIII,No,Inactive Group,1,1,09/14/19,09/14/19,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,41,16,0,/v/ - Video Games,Yes,Infrequently,8,2,01/29/20,06/24/20,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
42,42,17,0,/Y/ankee Scans,No,Inactive Group,8,1,09/17/19,01/24/20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
43,43,18,0,/yuri/ Scanlations,Yes,Infrequently,3,3,01/16/20,07/23/20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
44,44,19,0,0 exp,Yes,Infrequently,1,1,08/03/20,08/03/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,45,20,0,009godswar,No,Inactive Group,19,1,11/14/14,04/24/16,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
46,46,21,0,07-Ghost,No,Inactive Group,1,1,06/20/08,06/20/08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,47,22,0,0mniessence,Yes,Often. About every 5 to 6 day(s),56,8,02/26/19,07/20/20,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,1,3,0,0,3,0,0,0,0,0,0
48,48,23,0,1 2 Translations,Yes,Occasionally. About every 11 day(s),17,2,08/11/19,08/01/20,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49,49,24,0,1-o Scanlations,No,Inactive Group,6,1,11/13/12,02/12/13,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,50,0,0,1/11 Scans,Yes,Often. About every 4 to 5 day(s),11,1,01/14/20,05/23/20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
51,51,1,0,10 T Scans,No,Inactive Group,0,0,no date,no date,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,52,2,0,1008 Scans,No,Inactive Group,27,8,04/13/13,01/14/14,0,6,0,1,0,1,0,0,0,0,5,0,0,1,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0
53,53,3,0,10cent Investor Scans,Yes,Infrequently. About every 47 day(s),7,1,12/13/19,06/11/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,54,4,0,10sigh,No,Inactive Group,18,1,05/06/07,06/07/08,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
55,55,5,0,1121scans,No,Inactive Group,3,2,01/14/11,01/22/11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
56,56,6,0,12 Year Old Boy Scans,No,Inactive Group,6,1,02/21/18,12/08/18,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
57,57,7,0,12superlatives,No,Inactive Group,5,1,11/14/14,05/20/15,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
58,58,8,0,13-rashii,No,Inactive Group,1,1,05/17/17,05/17/17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
59,59,9,0,13man18,No,Inactive Group,3,1,07/01/14,08/13/14,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
60,60,10,0,13th Hour Scanlations,No,Inactive Group,86,19,01/03/12,03/15/13,7,0,2,8,0,3,6,2,2,4,0,1,1,0,0,0,0,0,3,0,7,6,2,3,0,0,0,8,0,0,0,0,6,0,0,0
61,61,11,0,14-loeuf,No,Inactive Group,3,3,12/05/16,03/23/17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
62,62,12,0,14BiQ-Scans,No,Inactive Group,15,4,03/14/12,05/07/12,0,1,0,2,0,1,1,1,2,0,1,0,0,1,0,0,1,0,0,0,2,3,0,0,1,0,0,1,0,1,0,0,0,0,1,0
63,63,13,0,15avaughn,Yes,Often. About every 8 to 9 day(s),115,4,05/04/18,08/03/20,1,0,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,3,0,2,0,0,1,0,0,0
64,64,14,0,177013,No,Inactive Group,6,1,03/26/19,05/24/19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
