,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,ID,Title,Type,Number of Scanlation group,Awarded,Japanese publihsers,Oneshot,Scan start day,Scan latest day,Digitally published first by publisher,Simulus translate,Publish status,Completely scanlated,Artist,Publish year,Licensed,name of English publisher,English publishing status,Anime,Rating,Vote number,Action,Adult,Adventure,Comedy,Doujinshi,Drama,Ecchi,Fantasy,Gender Bender,Harem,Hentai,Historical,Horror,Josei,Lolicon,Martial Arts,Mature,Mecha,Mystery,Psychological,Romance,School Life,Sci-fi,Seinen,Shotacon,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Smut,Sports,Supernatural,Tragedy,Yaoi,Yuri,Year published in English
0,22,22,22,0.0,1231,1 Pound no Fukuin,Manga,3,False,Shogakukan,False,01/17/07,06/14/09,False,False,Complete,Yes,TAKAHASHI Rumiko,1989.0,Yes,Viz,4 Vols - Complete,False,7.2,94,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2008
1,27,2,0,,72678,10 Dance,Manga,2,False,"Kodansha, Takeshobo",False,05/20/12,07/10/18,False,False,Ongoing,No,INOUE Satou,2012.0,Yes,Kodansha USA,5 Vols - Ongoing,False,8.9,258,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,2019
2,43,18,0,,145740,1122,Manga,0,False,Kodansha,False,Pass,Pass,False,False,Complete,No,WATANABE Peko,2016.0,Yes,Kodansha USA,6 Vols - Ongoing; digital,False,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2019
3,70,21,0,,319,20 Seiki Shounen,Manga,2,True,Shogakukan,False,03/22/05,08/14/07,False,False,Complete,Yes,URASAWA Naoki,1999.0,Yes,Viz,22 Vols - Complete / 8 Perfect Eds - Ongoing,False,8.8,1548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2009
4,73,24,0,,5809,2001 Ya Monogatari,Manga,0,False,"Chuuoukouronsha, Futabasha, Kobunsha, Shimanaka Shoten",False,Pass,Pass,False,False,Complete,Yes,HOSHINO Yukinobu,1984.0,Yes,Viz,3 Vols - Complete,False,8.1,85,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1996
5,77,3,0,,5673,21 Seiki Shounen,Manga,3,True,Shogakukan,False,06/11/07,02/14/08,False,False,Complete,Yes,URASAWA Naoki,2006.0,Yes,Viz,2 Vols - Complete,False,8.5,948,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2013
6,121,22,0,,50252,7-nin no Shakespeare,Manga,1,False,Shogakukan,False,03/30/12,06/15/14,False,False,Complete,Yes,HAROLD Sakuishi,2010.0,Yes,Kodansha USA,3 Omnibus Vols  - Complete; digital,False,7.5,25,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2018
7,122,23,0,,140055,7-nin no Shakespeare: Non Sanz Droict,Manga,0,False,Kodansha,False,Pass,Pass,False,False,Ongoing,No,HAROLD Sakuishi,2017.0,Yes,Kodansha USA,6 Vols - Ongoing; digital,False,6.5,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2018
8,125,1,0,,147235,86,Manga,4,False,Square Enix,False,02/03/18,04/14/20,False,False,Ongoing,No,YOSHIHARA Motoki,2018.0,Yes,Yen Press,December 2020,False,7.3,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2020
9,130,6,0,,34969,@Full Moon,Manga,0,False,Kodansha,False,Pass,Pass,False,False,Complete,No,MATOH Sanami,2008.0,Yes,Kodansha Comics,2 Volumes - Complete,False,6.7,17,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2013
