,ID,Year published in English
0,1231,2008
1,319,2009
2,5673,2013
3,2629,2018
4,119928,2017
5,105948,2014
6,788,2005
7,888,2010
8,1447,2008
9,227,2010
10,110801,2018
11,3558,2009
12,5195,2009
13,1380,2009
14,209,2010
15,11060,2010
16,2695,2003
17,109273,2016
18,9963,2009
19,147413,2019
20,113608,2017
21,115383,2018
22,28126,2010
23,10585,2009
24,5950,2000
25,6385,2020
26,8969,2009
27,121872,2018
28,7511,2009
29,113410,2020
30,2290,2015
31,74899,2016
32,16705,2010
33,157931,2020
34,6812,2011
35,90524,2019
36,120731,2019
37,1051,2003
38,18021,2010
39,6212,2014
40,127,2014
41,145550,2020
42,144765,2019
43,114105,2019
44,6811,2010
45,5582,2009
46,19473,2010
47,292,2020
48,6671,2007
49,139808,2020
50,8987,2016
51,5492,2005
52,2833,2008
53,4115,2007
54,372,2011
55,28795,2011
56,115995,2017
57,5809,1996
58,2249,1995
59,151117,2021
60,3445,1998
61,156776,2021
62,1409,2001
63,2250,2002
64,61649,2009
65,6009,2014
66,1145,2006
67,7250,2000
68,7410,2002
69,58623,2014
70,13815,1996
71,19686,2008
72,2157,2000
73,5478,2003
74,2647,1999
75,3946,2003
76,4006,2007
77,126648,2017
78,153050,2020
79,162,2015
80,1437,1991
81,26571,2008
82,4630,2004
83,62451,2000
84,13388,2008
85,2156,2004
86,133910,2019
87,2406,2017
88,81736,2000
89,19604,2008
90,141404,2019
91,1429,1999
92,4116,2002
93,80345,2015
94,11346,2016
95,6173,2000
96,6213,2017
97,1317,2006
98,339,2006
99,6017,2004
100,39704,2018
101,142,2008
102,11941,1997
103,127539,2020
104,142083,2018
105,5490,1991
106,1816,2004
107,1786,1993
108,35172,2000
109,1427,2000
110,79,2012
111,11761,1990
112,3435,2002
113,2272,1999
114,5836,2009
115,60566,2013
116,4488,1996
117,62348,2014
118,7211,2003
0,72678,2019
1,145740,2019
2,50252,2018
3,140055,2018
4,34969,2013
5,75929,2015
6,2113,2009
7,87035,2017
8,38777,2017
9,91384,2016
10,149142,2020
11,140364,2017
12,112350,2017
13,150904,2020
14,120280,2018
15,189,2014
16,55909,2015
17,8875,2014
18,35363,2017
19,887,2016
20,143526,2020
21,3490,2014
22,1065,2020
23,136030,2018
24,111515,2016
25,32077,2015
26,16853,2013
27,110116,2017
28,114717,2016
29,95348,2016
30,384,2018
31,119782,2017
32,2402,2013
33,58291,2013
34,12685,2017
35,125856,2019
36,119430,2018
37,2323,2011
38,109293,2017
39,109394,2017
40,14498,2018
41,116132,2018
42,2158,2016
43,42755,2012
44,7329,2011
45,152037,2020
46,157351,2020
47,149262,2019
48,63783,2017
49,155123,2020
50,82304,2017
51,105135,2017
52,113,2019
53,106220,2015
54,42107,2015
55,35997,2015
56,111964,2015
57,109294,2016
58,1567,2019
59,6150,2019
60,34971,2017
61,120136,2018
62,1000,2015
63,31434,2017
64,55827,2017
65,2474,2016
66,49423,2016
67,5101,2016
68,2475,2017
69,156709,2020
70,82405,2017
71,20980,2016
72,135805,2019
73,46377,2015
74,145749,2020
75,38228,2018
76,100346,2017
77,452,2014
78,113272,2017
79,136936,2020
80,4771,2016
81,123715,2016
82,132994,2017
83,2275,2016
84,5527,1999
85,38085,2016
86,926,2018
87,19610,2019
88,110822,2018
89,3733,2017
90,128233,2017
91,144280,2018
92,131460,2017
93,145752,2018
94,155389,2020
95,138820,2019
96,133631,2017
97,145479,2019
0,147235,2020
1,98665,2017
2,140515,2020
3,102282,2016
4,113037,2015
5,130755,2018
6,105053,2017
7,52256,2013
8,74847,2018
9,2247,2016
10,82388,2015
11,46686,2012
12,78396,2017
13,45009,2013
14,87668,2016
15,145887,2019
16,153527,2020
17,110082,2018
18,138183,2018
19,71335,2017
20,144472,2018
21,68465,2016
22,141724,2019
23,106656,2017
24,101942,2018
25,104,2015
26,86718,2020
27,137779,2019
28,20573,2009
29,78105,2015
30,90589,2016
31,106332,2015
32,133340,2017
33,148640,2019
34,144773,2018
35,42858,2014
36,77749,2018
37,78184,2015
38,147645,2020
39,7117,2008
40,140184,2018
41,12948,2008
42,150208,2020
43,48080,2018
44,15635,2014
45,141703,2020
46,150137,2019
47,29951,2010
48,84605,2014
