,Unnamed: 0,Unnamed: 0.1,ID,Title,Type,Number of Scanlation group,Awarded,Japanese publihsers,Oneshot,Scan start day,Scan latest day,Digitally published first by publisher,Simulus translate,Publish status,Completely scanlated,Artist,Publish year,Licensed,name of English publisher,English publishing status,Anime,Rating,Vote number,Action,Adult,Adventure,Comedy,Doujinshi,Drama,Ecchi,Fantasy,Gender Bender,Harem,Hentai,Historical,Horror,Josei,Lolicon,Martial Arts,Mature,Mecha,Mystery,Psychological,Romance,School Life,Sci-fi,Seinen,Shotacon,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Smut,Sports,Supernatural,Tragedy,Yaoi,Yuri
0,0,0.0,165168,#Killstagram,Manhwa,1,False,Naver,False,04/04/20,08/01/20,False,False,Ongoing,No,Ryoung,2019.0,Yes,LINE Webtoon,,False,7,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.0,159940,#Uraomote danshi to Hatsukoi no Hajimekata,Manga,0,False,Brite Shuppan,False,Pass,Pass,False,False,Ongoing,No,MAYUZUMI Koeda,2019.0,Yes,Renta!,,False,Not rated,Not rated,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2,0.0,153558,"'Tis Time for ""Torture,"" Princess",Manga,3,False,Shueisha,False,05/24/19,Pass,False,True,Ongoing,No,Hirakei,2019.0,Yes,MANGA Plus,,False,7.6,23,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
3,3,0.0,34241,"""Bungaku Shoujo"" (Novel)",Novel,1,True,Enterbrain,False,12/11/08,12/10/09,False,False,Complete,No,TAKEOKA Miho,2006.0,Yes,Yen On,Main / 8 Vols - Complete,False,8.8,54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,4,0.0,131967,"""Do es""",Manga,0,False,futurecomics,True,Pass,Pass,False,False,Complete,No,SHIBA Junko,2013.0,Yes,Renta!,,False,2.9,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,5,0.0,107543,"""Gundam"" o Tsukutta Otokotachi.",Manga,0,False,Kadokawa Shoten,False,Pass,Pass,False,False,Complete,No,OWADA Hideki,2014.0,Yes,Denpa,,False,8,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
6,6,0.0,170412,"""Hajimete"" wa Fianse no Tonari de Ubawareru!?",Manga,0,False,Screamo,False,Pass,Pass,False,False,Unknown,No,AKATSUKI Hijiri,2015.0,Yes,Coolmic,,False,Not rated,Not rated,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,7,0.0,164738,"""Hora, Ore no Ue ni Matagareyo"" ~ Gouman Joushi no Ijiwaru na Tsukiage",Manga,0,False,"Screamo, Suiseisha",False,Pass,Pass,False,False,Complete,No,TANEICHI Neri,2019.0,Yes,Coolmic,,False,6.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,8,0.0,118120,"""Kekkon"" Urimasu!",Manga,0,False,Comic Ishin,False,Pass,Pass,False,False,Complete,No,HARUNO Shun,2014.0,Yes,"Coolmic, Renta!",,False,Not rated,Not rated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,9,0.0,144428,"""Onna"" toshite Idakaretai...Seitenkan Shite, Hatsukoi o Mou Ichido.",Manga,0,False,Screamo,False,Pass,Pass,False,False,Complete,No,MIYAKOSHI Wasou,2016.0,Yes,Renta!,3 Volumes - Complete,False,7.6,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,10,0.0,162334,"""Osananajimi wa mou Yameta."" Massage no Yubi ga Naka made Fukaku...",Manga,0,False,"Screamo, Suiseisha",False,Pass,Pass,False,False,Ongoing,No,Yanatomi,2018.0,Yes,Coolmic,,False,7.7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,11,0.0,35710,"""Suki"" da Nante Zettai ni Iwanai",Manga,0,False,Suiseisha,False,Pass,Pass,False,False,Complete,No,CHIBA Tayuri,2016.0,Yes,Renta!,,False,7.5,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,12,0.0,168481,"""Sukida."" Iretara Tsutawaru... Katabutsu Otoko no Hitamukina Saiai",Manga,0,False,Screamo,False,Pass,Pass,False,False,Ongoing,No,INOZAKI Hinata,2020.0,Yes,Coolmic,,False,6.9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,13,0.0,81088,(A) Bu! - Hazakura Chuugaku Animal Bu,Manga,0,False,Shonen Gahosha,False,Pass,Pass,False,False,Ongoing,No,YOSHIKAWA Keito,2012.0,Yes,Renta!,,False,Not rated,Not rated,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,14,0.0,95820,+α no Jijou,Manga,0,False,Nihon Bungeisha,False,Pass,Pass,False,False,Complete,No,OTOMI Chisa,2013.0,Yes,"Juné, YaoiCat",chapter format,False,4.5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,15,0.0,2515,0/6,Manhwa,1,False,Seoul Cultural,False,Unknown,Unknown,False,False,Complete,Yes,LEE You Jung,1998.0,Yes,Net Comics,"Published, 5 Volumes - Completed / Online, 5 Volumes - Completed",False,6.1,84,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
16,16,0.0,132627,01RIKA,Manga,0,False,G2Comix,True,Pass,Pass,False,False,Complete,No,KAKIMOTO Kenjirou,2013.0,Yes,"G2Comix, Renta!",,False,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
17,17,0.0,1702,07-Ghost,Manga,11,True,Ichijinsha,False,05/25/08,05/07/16,False,False,Complete,Yes,ICHIHARA Yukino,2005.0,Yes,"Go! Comi, Viz","Defunct / 3 Vols, 17 Vols - Complete",True,8.3,932,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,18,0.0,137225,0Toki Kara wa Dorei no Jikan.,Manga,0,False,Screamo,False,Pass,Pass,False,False,Complete,No,SERIZAWA Shikine,2015.0,Yes,Renta!,,False,4.2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,19,0.0,133301,1 Oku-En No Asoko Motto Etchina Kara-Ban,Manga,0,False,,True,Pass,Pass,False,False,Complete,No,SHISEI Tokei,2013.0,Yes,Renta!,,False,Not rated,Not rated,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,0.0,45568,1 or W,Manga,0,False,Shogakukan,False,Pass,Pass,False,False,Complete,No,TAKAHASHI Rumiko,1995.0,Yes,Viz,1 Vol - Complete,False,6.8,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,0.0,155160,1 Plus 1,Manhwa,0,False,Lezhin,False,Pass,Pass,False,False,Complete,Yes,SORU,2019.0,Yes,"Lezhin, Tapas",,False,8.6,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,22,0.0,1231,1 Pound no Fukuin,Manga,3,False,Shogakukan,False,01/17/07,06/14/09,False,False,Complete,Yes,TAKAHASHI Rumiko,1989.0,Yes,Viz,4 Vols - Complete,False,7.2,94,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
23,23,0.0,136660,1 to 2 to 15,Manga,0,False,Takeshobo,False,Pass,Pass,False,False,Unknown,No,NARUSE Isa,2016.0,Yes,Renta!,,False,5.7,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,24,0.0,31173,1 World Manga,OEL,0,False,Viz,False,Pass,Pass,False,False,Complete,No,Add,2005.0,Yes,Viz,6 Vols - Complete,False,Not rated,Not rated,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,,147047,1 x ½,Doujinshi,1,False,Pixiv,False,11/02/18,07/01/20,False,False,Ongoing,No,Taiyaki,2015.0,Yes,Sekai Project,Digital,False,8.3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,,32179,10 Beautiful Assassins,OEL,0,False,Seven Seas,False,Pass,Pass,False,False,Complete,Yes,Elmer Damaso,2008.0,Yes,Seven Seas,,False,7.5,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,,72678,10 Dance,Manga,2,False,"Kodansha, Takeshobo",False,05/20/12,07/10/18,False,False,Ongoing,No,INOUE Satou,2012.0,Yes,Kodansha USA,5 Vols - Ongoing,False,8.9,258,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0
